Original_Color_Name,User_Color_Name,OD,ppm,Unnamed:_4,Vol_taken(ml),Nix_Device,Note,Date_Saved,Illuminant,Observer,Measurement_Mode,L,a,b,L.1,c,h,X,Y,Z,sRGB_R,sRGB_G,sRGB_B
nan,0.0,0.079,0.0129648,nan,,nan,nan,nan,nan,2.0,nan,31.4127926,-1.34483645,0.453350205,31.4127926,1.41919395,161.370815,0.06454859,0.068283007,0.055415524,72.0,75.0,73.0
nan,0.1,0.124,0.0863688,nan,,nan,nan,nan,nan,2.0,nan,30.5343842,-1.50090523,-0.177933286,30.5343842,1.51141548,186.760896,0.060860867,0.064557685,0.053628875,69.0,73.0,72.0
nan,0.2,0.19,0.194028,nan,,nan,nan,nan,nan,2.0,nan,29.3943986,-1.79377703,-1.05375561,29.3943986,2.08039345,210.432137,0.056209485,0.059928421,0.051478035,66.0,70.0,71.0
nan,0.4,0.313,0.3946656,nan,,nan,nan,nan,nan,2.0,nan,27.2212023,-2.06407059,-2.29506104,27.2212023,3.08669606,228.033267,0.048236633,0.051726913,0.046752195,60.0,65.0,68.0
nan,0.6,0.452,0.6214024,nan,,nan,nan,nan,nan,2.0,nan,25.1078228,-2.38329331,-3.51219095,25.1078228,4.2444755,235.840072,0.041203313,0.044504042,0.042459876,54.0,61.0,65.0
nan,0.8,0.561,0.7992032,nan,,nan,nan,nan,nan,2.0,nan,23.6960988,-2.54212325,-4.10729487,23.6960988,4.830348,238.24544,0.036943941,0.040074629,0.039388187,50.0,58.0,62.0
nan,1.0,0.679,0.9916848,nan,,nan,nan,nan,nan,2.0,nan,22.0134415,-2.61428501,-4.87038687,22.0134415,5.5276717,241.774363,0.032333914,0.035191486,0.036007452,45.0,54.0,60.0
nan,,0.114,0.0700568,nan,6.0,nan,nan,nan,nan,2.0,nan,30.5881173,-1.59121734,0.461047167,30.5881173,1.65666446,163.841322,0.060990547,0.064781576,0.052543154,70.0,73.0,71.0
nan,,0.218,0.2397016,nan,6.0,nan,nan,nan,nan,2.0,nan,28.8840528,-2.05111521,-1.12626328,28.8840528,2.33998773,208.771101,0.054099282,0.057929826,0.049921995,64.0,69.0,70.0
nan,,0.126,0.0896312,nan,6.0,nan,nan,nan,nan,2.0,nan,30.2911293,-1.75775563,0.285705092,30.2911293,1.78082348,170.767897,0.0596715,0.063550557,0.051881381,69.0,72.0,71.0
nan,,0.154,0.1353048,nan,6.0,nan,nan,nan,nan,2.0,nan,29.399659,-1.98007462,-0.353162206,29.399659,2.01132271,190.112822,0.056067287,0.059949257,0.050143358,66.0,70.0,70.0
nan,,0.209,0.2250208,nan,6.0,nan,nan,nan,nan,2.0,nan,29.0999481,-2.09452869,-0.86596718,29.0999481,2.26648397,202.462281,0.054854993,0.058769793,0.050135824,65.0,70.0,70.0
nan,0.0,0.078,0.0340626,nan,,nan,nan,nan,nan,2.0,nan,30.857978,-1.44161914,-0.138363992,30.857978,1.44824388,185.482352,0.062204232,0.065913848,0.054672712,70.0,73.0,73.0
nan,0.1,0.137,0.1335779,nan,,nan,nan,nan,nan,2.0,nan,29.8716922,-1.65701412,-0.883358366,29.8716922,1.87776937,208.062189,0.058139547,0.061838695,0.052758961,67.0,71.0,72.0
nan,0.2,0.173,0.1942991,nan,,nan,nan,nan,nan,2.0,nan,29.3639296,-1.68414109,-1.10897144,29.3639296,2.01646941,213.364062,0.056190616,0.059807829,0.051483259,66.0,70.0,71.0
nan,0.4,0.258,0.3376686,nan,,nan,nan,nan,nan,2.0,nan,27.4860571,-1.8727383,-1.98489326,27.4860571,2.72891004,226.665321,0.049291213,0.052683683,0.047020162,61.0,66.0,68.0
nan,0.6,0.404,0.5839268,nan,,nan,nan,nan,nan,2.0,nan,25.2652892,-2.20421065,-3.25562391,25.2652892,3.93161947,235.90015,0.041812881,0.045017432,0.042485441,54.0,61.0,65.0
